"State","Year","median_income"
"Tennessee",2019,60.011
"Tennessee",2018,60.487
"Tennessee",2017,61.128
"Tennessee",2016,57.969
"Tennessee",2015,54.126
"Tennessee",2014,50.079
"Tennessee",2013,50.514
"Tennessee",2012,50.83
"Tennessee",2011,51.042
"Tennessee",2010,48.058
"Tennessee",2009,51.289
"Tennessee",2008,50.083
"Tennessee",2007,53.962
"Tennessee",2006,54.816
"Tennessee",2005,54.803
"Tennessee",2004,54.741
"Tennessee",2003,55.41
"Tennessee",2002,55.923
"Tennessee",2001,54.892
"Tennessee",2000,53.793
"Texas",2020,71.599
"Texas",2019,71.474
"Texas",2018,64.506
"Texas",2017,66.417
"Texas",2016,65.649
"Texas",2015,64.582
"Texas",2014,61.717
"Texas",2013,59.886
"Texas",2012,61.388
"Texas",2011,59.213
"Texas",2010,58.861
"Texas",2009,60.097
"Texas",2008,58.645
"Texas",2007,60.325
"Texas",2006,58.337
"Texas",2005,57.607
"Texas",2004,59.522
"Texas",2003,57.991
"Texas",2002,60.634
"Texas",2001,62.68
"Texas",2000,60.913
"Utah",2020,87.915
"Utah",2019,89.574
"Utah",2018,83.152
"Utah",2017,77.135
"Utah",2016,76.188
"Utah",2015,75.772
"Utah",2014,72.609
"Utah",2013,71.118
"Utah",2012,68.972
"Utah",2011,66.995
"Utah",2010,70.611
"Utah",2009,74.042
"Utah",2008,78.888
"Utah",2007,70.118
"Utah",2006,73.587
"Utah",2005,76.23
"Utah",2004,73.144
"Utah",2003,72.764
"Utah",2002,72.281
"Utah",2001,72.624
"Utah",2000,75.02
"Vermont",2020,70.398
"Vermont",2019,78.746
"Vermont",2018,75.599
"Vermont",2017,70.385
"Vermont",2016,68.687
"Vermont",2015,68.037
"Vermont",2014,69.545
"Vermont",2013,76.32
"Vermont",2012,65.71
"Vermont",2011,62.611
"Vermont",2010,69.648
"Vermont",2009,66.227
"Vermont",2008,63.964
"Vermont",2007,62.077
"Vermont",2006,70.022
"Vermont",2005,70.515
"Vermont",2004,68.051
"Vermont",2003,63.883
"Vermont",2002,64.938
"Vermont",2001,62.579
"Vermont",2000,62.467
"Virginia",2020,86.053
"Virginia",2019,86.172
"Virginia",2018,83.243
"Virginia",2017,78.265
"Virginia",2016,75.025
"Virginia",2015,70.315
"Virginia",2014,75.785
"Virginia",2013,76.779
"Virginia",2012,76.409
"Virginia",2011,75.594
"Virginia",2010,75.176
"Virginia",2009,76.586
"Virginia",2008,78.192
"Virginia",2007,77.496
"Virginia",2006,76.943
"Virginia",2005,72.198
"Virginia",2004,73.532
"Virginia",2003,80.897
"Virginia",2002,74.954
"Virginia",2001,77.071
"Virginia",2000,74.409
"Washington",2020,85.157
"Washington",2019,87.381
"Washington",2018,86.021
"Washington",2017,79.071
"Washington",2016,79.382
"Washington",2015,76.899
"Washington",2014,67.666
"Washington",2013,74.467
"Washington",2012,73.519
"Washington",2011,68.633
"Washington",2010,69.941
"Washington",2009,76.448
"Washington",2008,71.438
"Washington",2007,76.08
"Washington",2006,73.715
"Washington",2005,70.435
"Washington",2004,71.78
"Washington",2003,70.154
"Washington",2002,68.236
"Washington",2001,65.181
"Washington",2000,67.092
"West Virginia",2020,54.396
"West Virginia",2019,56.916
"West Virginia",2018,54.566
"West Virginia",2017,51.9
"West Virginia",2016,50.077
"West Virginia",2015,48.973
"West Virginia",2014,45.309
"West Virginia",2013,50.174
"West Virginia",2012,51.489
"West Virginia",2011,50.489
"West Virginia",2010,53.271
"West Virginia",2009,51.255
"West Virginia",2008,47.928
"West Virginia",2007,55.136
"West Virginia",2006,51.753
"West Virginia",2005,50.685
"West Virginia",2004,47.985
"West Virginia",2003,48.381
"West Virginia",2002,44.339
"West Virginia",2001,45.519
"West Virginia",2000,46.402
"Wisconsin",2020,70.553
"Wisconsin",2019,71.38
"Wisconsin",2018,67.574
"Wisconsin",2017,70.164
"Wisconsin",2016,67.535
"Wisconsin",2015,63.384
"Wisconsin",2014,66.534
"Wisconsin",2013,60.259
"Wisconsin",2012,62.751
"Wisconsin",2011,62.848
"Wisconsin",2010,62.703
"Wisconsin",2009,64.859
"Wisconsin",2008,64.587
