"Year","State","AVG_AGE"
2016,"Virginia",38.4475278085282
2017,"Virginia",38.6064329245976
2018,"Virginia",38.7932075440686
2019,"Virginia",39.0741176957136
2020,"Virginia",39.3332295412565
2014,"Washington",38.0898302492519
2015,"Washington",38.2205681423406
2016,"Washington",38.4420167398463
2017,"Washington",38.4780377877007
2018,"Washington",38.5747152413129
2019,"Washington",38.7844384681439
2020,"Washington",38.9089118874403
2014,"West Virginia",40.6942376640657
2015,"West Virginia",40.9114508320464
2016,"West Virginia",41.0556522793378
2017,"West Virginia",41.2391036298563
2018,"West Virginia",41.5430676829295
2019,"West Virginia",41.8515596097865
2020,"West Virginia",42.015784429693
2014,"Wisconsin",39.0390760745343
2015,"Wisconsin",39.2347910025008
2016,"Wisconsin",39.3728320633553
2017,"Wisconsin",39.5921342535212
2018,"Wisconsin",39.7892770842278
2019,"Wisconsin",39.9819996242121
2020,"Wisconsin",40.2232135118682
2014,"Wyoming",37.6656971718026
2015,"Wyoming",37.6893724183468
2016,"Wyoming",38.0773183991146
2017,"Wyoming",38.4015328448254
2018,"Wyoming",39.1423381227098
2019,"Wyoming",38.9855777620737
2020,"Wyoming",39.5684623246113
2007,"Alabama",37.3813435220797
2008,"Alabama",37.4756642141616
2009,"Alabama",37.5708266471397
2010,"Alabama",37.7311540472506
2011,"Alabama",38.0360754485981
2012,"Alabama",38.1367552581147
2013,"Alabama",38.3566245638454
2007,"Alaska",33.6961526193967
2008,"Alaska",33.8542109565448
2009,"Alaska",33.9432232885165
2010,"Alaska",34.3723999803917
2011,"Alaska",34.6390791429022
2012,"Alaska",34.9282410667046
2013,"Alaska",34.7276584341316
2007,"Arizona",36.0975144172633
2008,"Arizona",36.0956170444511
2009,"Arizona",36.144993054648
2010,"Arizona",36.8297017791656
2011,"Arizona",37.1452527996508
2012,"Arizona",37.4865035772299
2013,"Arizona",37.7419776646449
2007,"Arkansas",37.4103743583756
2008,"Arkansas",37.5552124228214
2009,"Arkansas",37.5123300282061
2010,"Arkansas",37.7307604105413
2011,"Arkansas",37.9108084162617
2012,"Arkansas",37.9495132633986
2013,"Arkansas",38.1030816324945
2007,"California",35.3037031352782
2008,"California",35.5710201246217
2009,"California",35.6558073521798
2010,"California",36.0216419219787
2011,"California",36.2462918039286
2012,"California",36.4771529882026
2013,"California",36.7382400442695
2007,"Colorado",35.7875466804072
2008,"Colorado",35.9182037455137
2009,"Colorado",35.9625240907604
2010,"Colorado",36.3310717951877
2011,"Colorado",36.5958521699907
2012,"Colorado",36.7673444005319
2013,"Colorado",36.9823603784626
2007,"Connecticut",38.2292973007236
2008,"Connecticut",38.3330057362338
2009,"Connecticut",38.4632409285425
2010,"Connecticut",38.8667835406211
2011,"Connecticut",39.0824490345348
2012,"Connecticut",39.2737462423548
2013,"Connecticut",39.4469177548887
2007,"Delaware",37.7030577128558
2008,"Delaware",37.5935147727845
2009,"Delaware",38.0632409995458
2010,"Delaware",38.2920560721696
2011,"Delaware",38.6833084381046
2012,"Delaware",38.8294947507993
2013,"Delaware",39.0755042673554
2007,"District of Columbia",36.6396211405221
2008,"District of Columbia",36.9993528579853
2009,"District of Columbia",36.9181999042786
2010,"District of Columbia",36.8029822004358
2011,"District of Columbia",36.6563618534748
2012,"District of Columbia",36.5635126351564
2013,"District of Columbia",36.5766317219146
2007,"Florida",39.6183651162828
2008,"Florida",39.8600129635308
2009,"Florida",39.7633414965793
2010,"Florida",40.1243096362075
2011,"Florida",40.3294260088735
2012,"Florida",40.5346313262622
