"state","year","total","heroin_synthetic","prescription","avg_age","bachelors_pct","median_income","PDMP","unemp_rate","white_pct","personal_health_care"
"Oregon",2002,7.03017910733233,2.90315088642874,2.30544335098753,36.692990007852,17.8824833025067,63.13,0,8.68932561560219,86.8452196738264,4.396
"Oregon",2001,5.68061069160138,2.76821637763316,1.93198434688981,36.538505685537,17.2949733399581,63.314,0,7.22281135182712,88.0307468029649,4.139
"Oregon",2000,5.20255018488051,2.92278100274186,1.5783017414806,36.4027923643902,16.7556466581392,67.051,0,6.62653309836667,90.3705807531421,3.734
"Pennsylvania",2020,30.8998006297927,28.5764485318058,5.42897762963953,40.984476208575,25.3379094251741,74.094,1,6.80321565519106,75.7669453618819,11.603
"Pennsylvania",2019,24.0040824906192,21.6060176274171,4.56960242662293,40.8690127760616,24.1030202416203,74.8,1,4.70243952467516,79.6497091194189,11.175
"Pennsylvania",2018,22.5734868111807,19.9577420578962,5.37203698584999,40.6573235387357,23.5493704253748,69.619,1,4.85773143818936,80.0941277701518,10.91
"Pennsylvania",2017,20.1397254953072,17.1800682782768,5.06812014209166,40.5272539527237,23.3643227925545,67.736,1,5.33332658114094,80.696077017309,10.342
"Pennsylvania",2016,17.709322589469,13.9468737531022,5.54589651763849,40.3678319385286,22.7170559471449,68.847,1,5.77145035599465,80.8559093952259,9.98
"Pennsylvania",2015,10.833818980554,7.35012520598511,4.3897665948604,40.2111885464897,21.686251508787,69.061,1,6.30047117461168,81.1455228715822,9.562
"Pennsylvania",2014,8.68054944593461,5.23179061200924,3.82413394510092,40.0690087258291,21.1890178693411,63.204,1,7.0587920858509,81.4281208667192,9.142
"Pennsylvania",2013,7.59366769530855,3.98471840918768,3.8986046518182,39.9052745537526,20.8595781318341,64.255,1,8.34506386269735,81.5861700053101,8.802
"Pennsylvania",2012,6.57341351174157,3.31412862391739,3.26711970726607,39.7430022526673,20.5131634368407,61.362,1,8.9674089132398,82.0778897007851,8.577
"Pennsylvania",2011,6.04258721297515,2.73093551963033,3.24887156645677,39.5761335383523,19.6621236351012,60.254,1,9.17988226292146,82.32914427705,8.371
"Pennsylvania",2010,5.03842626644977,1.77919427534008,3.0624184650765,39.3756097541785,19.4799376535745,60.166,1,9.67920913569923,82.556541771869,8.069
"Pennsylvania",2009,5.16307990505617,2.21838754330395,2.90521927379307,39.2601585574727,19.1375056754322,60.979,1,9.10188252620542,83.5138325047976,7.655
"Pennsylvania",2008,4.91584197470958,2.00598067677665,2.67199797657601,39.1944202889411,18.9094090837778,64.842,1,5.8493095658024,83.7758456409918,7.457
"Pennsylvania",2007,3.98760356725762,1.37695692043028,2.17288577617032,38.9267405905287,18.4178340633383,63.448,1,5.91348353488828,83.7017783294372,7.239
"Pennsylvania",2006,3.42903484498884,1.44674896723305,1.61460381978496,38.8883821796356,18.3155165646474,65.302,1,6.22438448074726,83.8184685475106,6.868
"Pennsylvania",2005,4.20883872195881,1.71887688263203,1.92771239173686,38.7504069425189,18.5806564675364,64.391,1,6.57974604235343,84.6543377938418,6.572
"Pennsylvania",2004,3.8998536910262,1.72431547495786,1.76460321969987,38.5416666109798,17.8377315962584,63.417,1,6.74596920949494,84.8140063028664,6.166
"Pennsylvania",2003,3.88697610875387,1.89096135020459,1.78590794185989,38.3809896405416,17.4374973084645,63.398,1,7.19149136995294,85.1340020238672,5.791
"Pennsylvania",2002,2.88702542390819,1.48406082184044,1.3867453581132,38.2413978572242,16.9574476585821,64.181,1,7.01426734431449,85.3658905083242,5.389
"Pennsylvania",2001,2.15465197492148,1.21961432542725,0.943168411663741,38.2244606397765,16.6863293479434,66.729,1,5.55591439270272,85.7169147414445,5.056
"Pennsylvania",2000,2.68706578441883,1.45752962245749,1.37610338656601,38.1694574351788,15.9723791905526,66.541,1,5.79659698606585,86.6134542966509,4.702
"Rhode Island",2020,31.5005321035828,27.811280595956,4.35142485514958,40.8412653370342,28.0582454940268,83.918,1,8.04634394985343,72.1897216266042,11.694
"Rhode Island",2019,22.9383562355042,19.9176673485243,5.09741249677872,40.7035269374651,25.9815114960811,74.344,1,4.01968428053225,78.4683408205512,10.988
"Rhode Island",2018,25.3472238642221,20.7128433815845,7.2825979012877,40.4165031234779,25.7385925670212,67.183,1,5.87637150581029,80.9142970637889,10.464
"Rhode Island",2017,26.5184652509015,20.0068136412495,9.24843272095497,40.020482447324,24.7158702161774,72.285,1,5.84108331739879,81.5451299923842,10.29
"Rhode Island",2016,26.5991181587731,18.7424391296693,12.4003006362963,40.0625552570649,25.3654302336368,69.467,1,5.42284461561464,81.0303797899711,10.159
