"Year","State","WHITE_PCT"
2011,"West Virginia",93.9402187387488
2012,"West Virginia",93.7147147292813
2013,"West Virginia",93.7956235870709
2014,"West Virginia",93.5502176373245
2015,"West Virginia",93.4793029551094
2016,"West Virginia",93.0631936396771
2017,"West Virginia",92.7049872319241
2018,"West Virginia",92.9547156103115
2019,"West Virginia",93.0899083613119
2020,"West Virginia",90.6872255749871
2011,"Wisconsin",87.4874097630383
2012,"Wisconsin",86.678554302373
2013,"Wisconsin",86.4904270855953
2014,"Wisconsin",86.2942730640945
2015,"Wisconsin",86.2330686979464
2016,"Wisconsin",85.5398498176669
2017,"Wisconsin",85.2256145001202
2018,"Wisconsin",85.2782662901681
2019,"Wisconsin",85.3272016479706
2020,"Wisconsin",81.0094265581809
2011,"Wyoming",90.415694225902
2012,"Wyoming",91.0832876484181
2013,"Wyoming",90.8318430365669
2014,"Wyoming",91.441112174379
2015,"Wyoming",91.4945564547088
2016,"Wyoming",91.9475799358157
2017,"Wyoming",91.3282065888161
2018,"Wyoming",91.4088936661491
2019,"Wyoming",90.839883267474
2020,"Wyoming",85.2747459377019
2000,"Alabama",71.8459019983676
2001,"Alabama",71.329255258126
2002,"Alabama",71.0448052855908
2003,"Alabama",71.1073856570119
2004,"Alabama",71.0659660455325
2005,"Alabama",70.5159198080068
2000,"Alaska",69.798109521771
2001,"Alaska",69.3711608351164
2002,"Alaska",69.2515202193986
2003,"Alaska",69.5526743639574
2004,"Alaska",68.9667480655321
2005,"Alaska",69.0260819875927
2000,"Arizona",78.7531921401337
2001,"Arizona",75.7680058586757
2002,"Arizona",74.9126693593809
2003,"Arizona",76.5669662397018
2004,"Arizona",77.1744013535887
2005,"Arizona",76.3857701317852
2000,"Arkansas",80.5723705492998
2001,"Arkansas",80.7795904215835
2002,"Arkansas",79.9627633349591
2003,"Arkansas",79.3816206493145
2004,"Arkansas",79.6177219668022
2005,"Arkansas",78.7477478647624
2000,"California",67.4669495326132
2001,"California",66.2918428161389
2002,"California",63.3257008932216
2003,"California",66.1785277430256
2004,"California",63.0169457924331
2005,"California",60.8478879483707
2000,"Colorado",84.9669081996521
2001,"Colorado",85.1847765928945
2002,"Colorado",82.8971770975
2003,"Colorado",83.763994269645
2004,"Colorado",83.4840576346788
2005,"Colorado",83.225334583965
2000,"Connecticut",85.2338926588001
2001,"Connecticut",83.1746470067055
2002,"Connecticut",81.9156236148815
2003,"Connecticut",81.4812408842916
2004,"Connecticut",80.0878482057588
2005,"Connecticut",81.4112559154404
2000,"Delaware",75.9312915548623
2001,"Delaware",75.8184504523186
2002,"Delaware",75.2026601177928
2003,"Delaware",75.4673221500731
2004,"Delaware",74.5101009285827
2005,"Delaware",73.7058471556375
2000,"District of Columbia",31.0630401539492
2001,"District of Columbia",29.2897102151941
2002,"District of Columbia",29.279990739911
2003,"District of Columbia",30.4913958911338
2004,"District of Columbia",33.137737080031
2005,"District of Columbia",31.8753293535625
2000,"Florida",79.1405523989221
2001,"Florida",78.4882174683383
2002,"Florida",77.5541337868982
2003,"Florida",76.956341614946
2004,"Florida",77.5565562829552
2005,"Florida",76.7050746752426
2000,"Georgia",66.6488964748618
2001,"Georgia",66.1188380154378
2002,"Georgia",65.2433189552186
2003,"Georgia",66.1405001475344
2004,"Georgia",63.6433055367366
2005,"Georgia",62.5609080162984
2000,"Hawaii",24.1861078490044
2001,"Hawaii",24.6664395115323
2002,"Hawaii",24.5031802915426
2003,"Hawaii",24.2785532190018
2004,"Hawaii",25.2158095138744
2005,"Hawaii",24.5640144676956
2000,"Idaho",93.6003276441068
2001,"Idaho",92.111699801162
2002,"Idaho",91.6080163874282
2003,"Idaho",92.3546597757967
2004,"Idaho",92.252630588346
2005,"Idaho",91.1581301245874
2000,"Illinois",75.6829818586398
2001,"Illinois",74.6256818749144
2002,"Illinois",74.7040383521573
2003,"Illinois",74.5278964130607
2004,"Illinois",74.8155048677479
2005,"Illinois",72.2294022824876
2000,"Indiana",87.3266372515812
2001,"Indiana",87.8565178586021
2002,"Indiana",87.4558162195325
2003,"Indiana",87.2102705647117
2004,"Indiana",86.819142804133
2005,"Indiana",86.4267353284181
2000,"Iowa",93.9813547712811
2001,"Iowa",93.836764940109
2002,"Iowa",93.3123503997267
2003,"Iowa",93.7419384987609
2004,"Iowa",93.8551763242919
2005,"Iowa",94.0942664765159
2000,"Kansas",89.8260122587746
2001,"Kansas",86.49436814007
2002,"Kansas",85.9044873396145
2003,"Kansas",86.4723230498606
2004,"Kansas",87.0627491563826
2005,"Kansas",85.2362382425884
2000,"Kentucky",90.8472880556042
2001,"Kentucky",89.994998359786
